"gene","STRING_id"
"Bcar1","10090.ENSMUSP00000129584"
"Bcar3","10090.ENSMUSP00000029766"
"Bcl2","10090.ENSMUSP00000108371"
"Bcl2l1","10090.ENSMUSP00000105445"
"Bcl9","10090.ENSMUSP00000046152"
"Bicd1","10090.ENSMUSP00000084039"
"Bicd2","10090.ENSMUSP00000039394"
"Bicral","10090.ENSMUSP00000044833"
"Blcap","10090.ENSMUSP00000085849"
"Bmp2k","10090.ENSMUSP00000037970"
"Bmp7","10090.ENSMUSP00000009143"
"Bmpr1a","10090.ENSMUSP00000035900"
"Bmt2","10090.ENSMUSP00000040578"
"Bphl","10090.ENSMUSP00000046168"
"Brd4","10090.ENSMUSP00000003726"
"Brwd1","10090.ENSMUSP00000097101"
"Bst2","10090.ENSMUSP00000051921"
"Btbd8","10090.ENSMUSP00000056529"
"Btrc","10090.ENSMUSP00000070728"
"C2cd4d","10090.ENSMUSP00000128182"
"Cab39l","10090.ENSMUSP00000022553"
"Cacnb3","10090.ENSMUSP00000155514"
"Cadm3","10090.ENSMUSP00000106851"
"Cadm4","10090.ENSMUSP00000066880"
"Camk2d","10090.ENSMUSP00000143677"
"Camk2g","10090.ENSMUSP00000071720"
"Camk2n1","10090.ENSMUSP00000060349"
"Cap1","10090.ENSMUSP00000101864"
"Capg","10090.ENSMUSP00000109705"
"Capn7","10090.ENSMUSP00000022451"
"Card10","10090.ENSMUSP00000129513"
"Carm1","10090.ENSMUSP00000034703"
"Casd1","10090.ENSMUSP00000015333"
"Castor2","10090.ENSMUSP00000016088"
"Cat","10090.ENSMUSP00000028610"
"Catsper2","10090.ENSMUSP00000037222"
"Cav2","10090.ENSMUSP00000000058"
"Cavin1","10090.ENSMUSP00000058321"
"Cbfb","10090.ENSMUSP00000059382"
"Cbx2","10090.ENSMUSP00000026662"
"Cbx5","10090.ENSMUSP00000113157"
"Cbx7","10090.ENSMUSP00000105245"
"Ccdc159","10090.ENSMUSP00000126474"
"Ccdc191","10090.ENSMUSP00000137597"
"Ccdc59","10090.ENSMUSP00000020049"
"Ccdc6","10090.ENSMUSP00000123374"
"Ccdc61","10090.ENSMUSP00000096377"
"Ccdc74a","10090.ENSMUSP00000049541"
"Ccdc9","10090.ENSMUSP00000114088"
"Ccn1","10090.ENSMUSP00000029846"
"Ccnl1","10090.ENSMUSP00000029416"
"Ccnt2","10090.ENSMUSP00000027587"
"Cct7","10090.ENSMUSP00000032078"
"Cd47","10090.ENSMUSP00000099853"
"Cd55","10090.ENSMUSP00000027650"
"Cd59a","10090.ENSMUSP00000132774"
"Cd63","10090.ENSMUSP00000151313"
"Cd81","10090.ENSMUSP00000043768"
"Cd9","10090.ENSMUSP00000032492"
"Cdc37l1","10090.ENSMUSP00000060421"
"Cdc42bpa","10090.ENSMUSP00000106746"
"Cdc42ep1","10090.ENSMUSP00000060930"
"Cdc42ep3","10090.ENSMUSP00000067217"
"Cdc42se2","10090.ENSMUSP00000070725"
"Cdh19","10090.ENSMUSP00000092210"
"Cdip1","10090.ENSMUSP00000004173"
"Cdk12","10090.ENSMUSP00000103162"
"Cdk13","10090.ENSMUSP00000036013"
"Cdk17","10090.ENSMUSP00000070355"
"Cdk8","10090.ENSMUSP00000031640"
"Cdk9","10090.ENSMUSP00000009699"
"Cdkal1","10090.ENSMUSP00000006353"
"Cdkl3","10090.ENSMUSP00000113303"
"Cdkn1a","10090.ENSMUSP00000156559"
"Cdrt4","10090.ENSMUSP00000048844"
"Cdv3","10090.ENSMUSP00000044420"
"Cebpg","10090.ENSMUSP00000118588"
"Celf2","10090.ENSMUSP00000110574"
"Cemip2","10090.ENSMUSP00000093908"
"Cep164","10090.ENSMUSP00000114053"
"Cep350","10090.ENSMUSP00000120085"
"Cep68","10090.ENSMUSP00000054943"
"Cep78","10090.ENSMUSP00000037596"
"Cept1","10090.ENSMUSP00000065743"
"Cerk","10090.ENSMUSP00000038203"
"Cers4","10090.ENSMUSP00000008350"
"Cers5","10090.ENSMUSP00000023762"
"Cfap100","10090.ENSMUSP00000126515"
"Cfl1","10090.ENSMUSP00000147514"
"Cfl2","10090.ENSMUSP00000077262"
"Cgrrf1","10090.ENSMUSP00000070548"
"Chd1","10090.ENSMUSP00000024627"
"Chd9","10090.ENSMUSP00000105243"
"Chdh","10090.ENSMUSP00000065542"
"Chfr","10090.ENSMUSP00000108138"
"Chka","10090.ENSMUSP00000025760"
"Chm","10090.ENSMUSP00000026607"
"Chmp2b","10090.ENSMUSP00000004965"
"Chmp5","10090.ENSMUSP00000030128"
"Chn2","10090.ENSMUSP00000035908"
"Chpt1","10090.ENSMUSP00000112708"
"Chrdl1","10090.ENSMUSP00000108499"
"Chst14","10090.ENSMUSP00000099579"
"Chtop","10090.ENSMUSP00000061800"
"Cipc","10090.ENSMUSP00000038630"
"Ckap5","10090.ENSMUSP00000106970"
"Clcn3","10090.ENSMUSP00000004430"
"Clcn4","10090.ENSMUSP00000000619"
"Cldnd2","10090.ENSMUSP00000037980"
"Clic4","10090.ENSMUSP00000041453"
"Clip4","10090.ENSMUSP00000024854"
"Clk2","10090.ENSMUSP00000113390"
"Clmn","10090.ENSMUSP00000105563"
"Clptm1l","10090.ENSMUSP00000022102"
"Cltb","10090.ENSMUSP00000053371"
"Cmtm6","10090.ENSMUSP00000035007"
"Cmya5","10090.ENSMUSP00000050408"
"Cnn3","10090.ENSMUSP00000029773"
"Cnnm3","10090.ENSMUSP00000001166"
"Cnot2","10090.ENSMUSP00000100902"
"Cnp","10090.ENSMUSP00000099409"
"Cntf","10090.ENSMUSP00000108555"
"Cobll1","10090.ENSMUSP00000099787"
"Cog1","10090.ENSMUSP00000018805"
"Col14a1","10090.ENSMUSP00000105850"
"Col16a1","10090.ENSMUSP00000035802"
"Col1a1","10090.ENSMUSP00000001547"
"Col1a2","10090.ENSMUSP00000031668"
"Col23a1","10090.ENSMUSP00000099826"
"Col24a1","10090.ENSMUSP00000029848"
"Col26a1","10090.ENSMUSP00000052095"
"Col4a1","10090.ENSMUSP00000033898"
"Col4a2","10090.ENSMUSP00000033899"
"Col5a1","10090.ENSMUSP00000028280"
"Colgalt1","10090.ENSMUSP00000047923"
"Comt","10090.ENSMUSP00000130077"
"Cop1","10090.ENSMUSP00000076160"
"Copb1","10090.ENSMUSP00000033012"
"Coq2","10090.ENSMUSP00000031262"
"Cox14","10090.ENSMUSP00000023761"
"Cox16","10090.ENSMUSP00000002757"
"Cox6a1","10090.ENSMUSP00000047661"
"Cpe","10090.ENSMUSP00000048555"
"Cpsf1","10090.ENSMUSP00000071794"
"Cpsf6","10090.ENSMUSP00000134823"
"Cr1l","10090.ENSMUSP00000074902"
"Creb1","10090.ENSMUSP00000059973"
"Creb3l2","10090.ENSMUSP00000040208"
"Crebbp","10090.ENSMUSP00000023165"
"Crebrf","10090.ENSMUSP00000059102"
"Crebzf","10090.ENSMUSP00000050972"
"Crlf3","10090.ENSMUSP00000060028"
"Crppa","10090.ENSMUSP00000061646"
"Crtc3","10090.ENSMUSP00000113540"
"Cry2","10090.ENSMUSP00000088047"
"Cryab","10090.ENSMUSP00000149803"
"Cryzl1","10090.ENSMUSP00000073171"
