"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"Cytoskeleton in muscle cells",0,0,1,0,1
"ECM-receptor interaction",0,0,1,0,1
