"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","28/616","107/10644",0.261682242990654,4.52166525063721,9.07395655058641,7.24753858817509e-12,2.36994511833326e-09,1.83095711701266e-09,"14825/15894/17873/19225/12044/13197/20310/21929/11796/17096/22637/17060/19698/16818/18034/108723/21898/16176/12042/12675/18761/16177/50930/18792/21947/245527/18751/23882",28
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","28/616","118/10644",0.23728813559322,4.10015408320493,8.392818376094,9.10056659692024e-11,1.48794263859646e-08,1.14954525434782e-08,"14825/15894/20339/16193/19225/12702/20293/12608/16477/26427/20310/21929/16182/16362/26410/11796/12051/17392/231991/74568/16878/20297/26397/16176/12675/20311/29857/21938",28
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","45/616","294/10644",0.153061224489796,2.64477869069706,7.0880404215906,1.55847871239256e-09,1.69874179650789e-07,1.31240312622532e-07,"12765/12985/227288/14825/16178/12986/16193/12156/27279/18413/20293/12771/20310/16174/16182/16181/107527/56744/12983/12767/320100/56708/16196/16162/16878/58181/20297/16185/15980/12163/16176/16175/16172/16190/20311/238057/16177/50930/16323/21938/21947/245527/269275/11479/16156",45
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","27/616","136/10644",0.198529411764706,3.43043353705118,7.06982063958055,1.29821528822429e-08,1.06129099812336e-06,8.19925445194289e-07,"246256/14283/18733/14284/12702/232801/16477/320832/17969/18019/17060/19698/16818/18034/15980/232790/16176/16175/12675/20375/29857/14131/16177/17972/12703/16822/14282",27
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","30/616","180/10644",0.166666666666667,2.87987012987013,6.30420691195123,1.3194278846891e-07,7.53343358081873e-06,5.82013217253016e-06,"246256/56619/16193/12608/12265/13063/12795/13115/24088/12796/192656/170780/15510/20698/15980/21898/15526/16176/16175/18779/12042/15001/15000/56644/29857/14131/12721/108960/13040/21897",30
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","21/616","98/10644",0.214285714285714,3.70269016697588,6.66163203979489,1.38228139097591e-07,7.53343358081873e-06,5.82013217253016e-06,"12985/14825/14283/16193/19225/20201/20293/12608/20310/21929/16819/17392/74180/56489/20297/16176/16172/12675/20311/29857/14282",21
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","22/616","112/10644",0.196428571428571,3.39413265306122,6.31272717910962,3.51945742150355e-07,1.6440893954738e-05,1.27018012204639e-05,"56619/16193/19225/17474/216799/12795/16362/18019/12051/19698/17164/170780/18034/13655/56489/16176/12042/12675/56644/29857/56760/69810",22
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","21/616","109/10644",0.192660550458716,3.32902418682235,6.05738534079334,9.08003664617662e-07,3.7114649791247e-05,2.86737999352946e-05,"12265/13063/24088/16835/11796/104709/11689/26397/18036/15980/21898/12675/320207/105675/15001/15000/329581/29857/12703/16780/21947",21
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","16/616","70/10644",0.228571428571429,3.94953617810761,6.13618322332877,1.72872600444366e-06,6.28103781614529e-05,4.85256422299974e-05,"246256/19225/17969/24088/17357/18036/15980/21898/16176/16175/15001/15000/29857/14131/17972/18751",16
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","18/616","94/10644",0.191489361702128,3.30878695772313,5.57232940962299,5.94992861415023e-06,0.000194562665682712,0.00015031398604169,"12985/16178/12986/16193/22042/16196/14128/16176/16175/16402/16190/15001/15000/16177/12502/12481/14256/16156",18
