"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"potassium ion export across plasma membrane",1,0,0,0,1
"response to increased oxygen levels",1,0,0,0,1
"negative regulation of epithelial cell differentiation",1,0,0,0,1
"cellular response to steroid hormone stimulus",1,0,0,0,1
