"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Egr1",1.21762431086068,2.36790794584095e-05,"EGR1",1.25937497766124,0.00323379676374362,"Up","Up","Concordant"
"Junb",0.890458493675911,0.00234768149354246,"JUNB",2.95524455565762,2.85124120522295e-12,"Up","Up","Concordant"
"S100a6",0.432907734497536,0.0257749117758073,"S100A6",0.668400803833228,0.00086456358449962,"Up","Up","Concordant"
