"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04710","Circadian rhythm",34,3,0.000292185142786037,0.0441199565606916,"Per2,Dbp,Csnk1d"
"04920","Adipocytokine signaling pathway",72,3,0.00263136554175041,0.150244627120635,"Chuk,Adipor1,Prkcq"
"04150","mTOR signaling pathway",158,4,0.00308758088973616,0.150244627120635,"Sgk1,Fnip2,Chuk,Atp6v1b2"
"04010","MAPK signaling pathway",299,5,0.0055358880412058,0.150244627120635,"Arrb2,Hspa8,Mapk8ip1,Nr4a1,Chuk"
"04517","IgSF CAM signaling",300,5,0.00561389334153769,0.150244627120635,"Kcna1,Mbp,Gldn,Prkcq,Pmp2"
"04925","Aldosterone synthesis and secretion",104,3,0.00737973948440723,0.150244627120635,"Ldlr,Atp1b3,Nr4a1"
"05145","Toxoplasmosis",109,3,0.00839552978183105,0.150244627120635,"Hspa8,Ldlr,Chuk"
"04960","Aldosterone-regulated sodium reabsorption",38,2,0.00932278450393054,0.150244627120635,"Sgk1,Atp1b3"
"05417","Lipid and atherosclerosis",217,4,0.00943227213785281,0.150244627120635,"Ncf2,Hspa8,Ldlr,Chuk"
"04928","Parathyroid hormone synthesis, secretion and action",116,3,0.00994997530600234,0.150244627120635,"Arrb2,Sgk1,Hbegf"
"04068","FoxO signaling pathway",133,3,0.014385693977377,0.197476344598539,"Sgk1,Gabarapl1,Chuk"
"04978","Mineral absorption",55,2,0.0188994281122861,0.237817803746266,"Clcn2,Atp1b3"
"04340","Hedgehog signaling pathway",58,2,0.0208857345273817,0.242595839510357,"Arrb2,Csnk1d"
"05161","Hepatitis B",164,3,0.0249621126724814,0.269234215253192,"Chuk,Ddx3x,Egr2"
"05221","Acute myeloid leukemia",70,2,0.0296439930844737,0.27730329679509,"Per2,Chuk"
"04927","Cortisol synthesis and secretion",72,2,0.0312241962417254,0.27730329679509,"Ldlr,Nr4a1"
"04622","RIG-I-like receptor signaling pathway",73,2,0.0320266568625597,0.27730329679509,"Chuk,Ddx3x"
"04145","Phagosome",183,3,0.033056022134514,0.27730329679509,"Ncf2,Atp6v0b,Atp6v1b2"
"04721","Synaptic vesicle cycle",77,2,0.035317224569095,0.280678995259649,"Atp6v0b,Atp6v1b2"
"04970","Salivary secretion",87,2,0.0440842913212045,0.295445296091233,"Atp1b3,Slc12a2"
"05323","Rheumatoid arthritis",87,2,0.0440842913212045,0.295445296091233,"Atp6v0b,Atp6v1b2"
"04658","Th1 and Th2 cell differentiation",88,2,0.0450016013913799,0.295445296091233,"Chuk,Prkcq"
"05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",88,2,0.0450016013913799,0.295445296091233,"Chuk,Prkcq"
