"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04517","IgSF CAM signaling",300,3,0.00309139168130791,0.0556450502635424,"Kcna2,Mbp,Pmp2"
"04514","Cell adhesion molecule (CAM) interaction",181,2,0.0142990858820855,0.128691772938769,"Sdc3,Cldn19"
