"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","31/687","253/10644",0.122529644268775,1.89840689024285,3.79883830296585,0.000416778885798385,0.00371721708955317,0.00275085921778735,"17869/16193/18035/13063/216799/11852/24088/271457/545486/67951/74192/11796/22151/268973/227613/22145/192656/16574/74568/12363/26397/21898/16176/12675/22146/29857/22166/19264/56212/18033/622434",31
"Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway","18/687","117/10644",0.153846153846154,2.38360765871683,3.95275341684972,0.000480532402406042,0.00417304454721036,0.00308818607640448,"12575/16193/18787/22042/170768/15277/22339/16828/212032/15980/21898/12323/15251/16000/16194/18033/15979/18751",18
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection","30/687","247/10644",0.121457489878543,1.8817955200396,3.68305741199547,0.00059520435786734,0.0050363445665698,0.00372705562821115,"12575/16178/15894/14283/17869/16193/12427/18035/26427/23872/22695/18019/12566/19698/231991/16818/18034/16185/19384/17702/12675/20375/15001/15000/13557/16177/18033/12502/14991/14534",30
"Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance","17/687","110/10644",0.154545454545455,2.39444223898372,3.86141394905329,0.000647866427473594,0.00534489802665715,0.00395539503089141,"16193/170826/12702/18035/26427/384783/231991/20111/244416/14584/19046/19246/11606/18761/18033/18534/18751",17
"Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway","14/687","82/10644",0.170731707317073,2.64522313345404,3.92830136732681,0.000695613477235614,0.00559884018262811,0.00414332032653819,"16193/54483/18035/216799/54123/74568/20016/56489/18036/16176/12675/18033/15951/383619",14
"Human Diseases","Endocrine and metabolic disease","mmu04930","Type II diabetes mellitus","10/687","48/10644",0.208333333333333,3.22780203784571,4.06323917290615,0.000817755495351976,0.0064252217491941,0.0047548690456556,"216233/12702/12290/15277/384783/212032/20927/16514/12703/378435",10
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","22/687","164/10644",0.134146341463415,2.07838960485675,3.65563748183584,0.00084157881445921,0.00645862811096603,0.00477959081896051,"12575/17869/16193/12427/18035/26427/13063/24088/54123/18019/12566/231991/13205/13655/56489/26397/21898/12675/13557/29857/18033/18751",22
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","16/687","103/10644",0.155339805825243,2.40674948064612,3.76825787324097,0.000873702798476679,0.00655277098857509,0.00484925955135381,"16193/18035/20293/18787/24088/11421/15980/21898/14679/16176/12675/29857/18033/12503/15979/12502",16
"Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagocytosis","15/687","94/10644",0.159574468085106,2.4723590077116,3.76614954353842,0.000943976935083509,0.00692249752394573,0.00512286898103799,"246256/17969/74192/17096/17357/22323/15162/22376/20698/230837/16886/14131/19354/19264/18751",15
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","19/687","136/10644",0.139705882352941,2.16452607243771,3.59008544078529,0.00114004611551484,0.00817859169825866,0.00605241873682937,"17873/12044/13197/18035/13063/17210/16906/11796/22145/12983/16905/13665/78943/78688/12675/22146/18033/13040/23882",19
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","13/687","77/10644",0.168831168831169,2.61577723586457,3.73763717037539,0.00118964762297767,0.00835284501239641,0.00618137174761074,"16193/216799/16362/12263/21898/14679/16176/16175/16402/20311/29857/625018/18033",13
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis","16/687","108/10644",0.148148148148148,2.29532589357917,3.55385079135956,0.00146674145374613,0.0100838474945047,0.00746236879976102,"14825/16178/16193/11846/20723/11847/20310/24088/271457/21898/16176/12829/16177/18033/16780/18751",16
"Human Diseases","Drug resistance: antineoplastic","mmu01523","Antifolate resistance","7/687","28/10644",0.25,3.87336244541485,3.99885004001437,0.00162135644274792,0.0109193393083023,0.00808065939242788,"16193/76408/20509/16176/12675/52466/18033",7
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","15/687","101/10644",0.148514851485149,2.30100739331575,3.45067847068659,0.00198792436077174,0.0131203007810935,0.00970944108840092,"15894/20339/16193/20293/21824/18712/18787/22339/16176/16175/11606/12829/29857/18033/18751",15
"Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway","12/687","72/10644",0.166666666666667,2.58224163027656,3.53839753695767,0.00203486256979865,0.0131667578045795,0.00974382076766329,"12702/18035/14081/384783/18036/12675/50790/18761/72674/18033/18534/21938",12
