"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"neural crest cell differentiation",0,1,0,0,1
"transmission of nerve impulse",0,1,0,0,1
"regulation of extent of cell growth",0,1,0,0,1
"positive regulation of neuron differentiation",0,1,0,0,1
"cardiac muscle tissue growth",0,1,0,0,1
"axon extension",0,1,0,0,1
"heart growth",0,1,0,0,1
"hindbrain development",0,1,0,0,1
