"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Gas2l3",-0.288706766954567,2.49880923537619e-25,"GAS2L3",-0.553256999453118,0.0151511480104318,"Down","Down","Concordant"
"Tsc22d3",-0.284038878428629,8.71262248209546e-25,"TSC22D3",0.879953045600486,1.39651604335522e-10,"Down","Up","Discordant"
"Plekha4",0.298290463020058,5.26514577208746e-23,"PLEKHA4",-0.709758439471158,7.88266152741976e-17,"Up","Down","Discordant"
"Rtkn",-0.22200336964797,3.26311242274398e-19,"RTKN",-0.759074977133738,0.000333166358698641,"Down","Down","Concordant"
"Sdc3",-0.317458401987388,4.30914789043667e-18,"SDC3",-1.11597118728868,7.87048027946162e-23,"Down","Down","Concordant"
"Ogn",-0.290732352773718,4.05849387513914e-17,"OGN",-0.758361150274417,3.06053909211135e-06,"Down","Down","Concordant"
"Sparc",-0.196554548415053,9.91216334751763e-17,"SPARC",-0.74235848073811,1.37184003580368e-160,"Down","Down","Concordant"
"Gsn",-0.264579757908332,1.09940194437451e-16,"GSN",0.79472909308265,7.93104283439763e-96,"Down","Up","Discordant"
"Tnxb",-0.238165659264602,2.00023848250952e-16,"TNXB",0.619349928035901,3.78948320981086e-09,"Down","Up","Discordant"
"Vwa1",-0.250094693619357,1.83316503686198e-15,"VWA1",-0.428903634526047,5.92811829244541e-14,"Down","Down","Concordant"
"Cst3",-0.32927267188946,2.41489970979651e-15,"CST3",-0.218818234737092,8.06606770719687e-09,"Down","Down","Concordant"
"S100a6",-0.218453293871311,3.14037015081417e-15,"S100A6",0.295483239760776,1.01272497407963e-16,"Down","Up","Discordant"
"Prnp",-0.319553017277971,3.73854033214797e-15,"PRNP",-0.294385360434167,0.0104156275004854,"Down","Down","Concordant"
"Hspa8",-0.305027444231289,6.86833436114207e-15,"HSPA8",-0.543620602493133,6.99785512556195e-11,"Down","Down","Concordant"
"Mbp",0.309362962879349,1.0963497224448e-13,"MBP",-1.30208801771583,1.42010607307706e-214,"Up","Down","Discordant"
"Mpz",-0.299336324210134,1.7351191575341e-12,"MPZ",-0.884917878908733,1.25053568141596e-97,"Down","Down","Concordant"
"Col1a1",-0.218300074510664,2.30282551535219e-12,"COL1A1",-1.16644022107065,2.37264383302555e-67,"Down","Down","Concordant"
"Psap",-0.177902022731904,2.40995743102202e-12,"PSAP",-0.477285100980786,6.16371652592619e-47,"Down","Down","Concordant"
"Rhobtb3",-0.17587661388231,3.76758573242718e-11,"RHOBTB3",-0.724138435792583,0.00165621606526567,"Down","Down","Concordant"
"Dag1",-0.230860326594272,4.41344059519757e-11,"DAG1",-0.355510375777363,0.0143532295132145,"Down","Down","Concordant"
