"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04974","Protein digestion and absorption",108,2,0.00350536699705004,0.0666019729439508,"Col1a1,Col14a1"
"04820","Cytoskeleton in muscle cells",233,2,0.0155203377840855,0.0982954726325416,"Col1a1,Sdc3"
