"Gene"
"Cldn19"
"Col1a1"
"Cpe"
"Fam107a"
"Frzb"
"Fxyd3"
"Haghl"
"Mbp"
"Mfap5"
"Mmp15"
"Nbl1"
"Rap1gap"
"S100b"
"Scube1"
"Sdc3"
"Sdk2"
"Slc2a1"
"Tns1"
