"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Endocrine and metabolic disease","mmu04930","Type II diabetes mellitus","10/685","48/10644",0.208333333333333,3.23722627737226,4.07407487342311,0.000799478896838654,0.00621466277129524,0.00457922519990176,"216233/12702/12290/15277/384783/212032/20927/16514/12703/378435",10
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","22/685","164/10644",0.134146341463415,2.08445789567385,3.67048478728148,0.000809789391411198,0.00621466277129524,0.00457922519990176,"12575/17869/16193/12427/18035/26427/13063/24088/54123/18019/12566/231991/13205/13655/56489/26397/21898/12675/13557/29857/18033/18751",22
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","16/685","103/10644",0.155339805825243,2.41377648642903,3.78118486294627,0.000846895214208414,0.00635171410656311,0.00468021039430966,"16193/18035/20293/18787/24088/11421/15980/21898/14679/16176/12675/29857/18033/12503/15979/12502",16
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","19/685","136/10644",0.139705882352941,2.17084585659081,3.60394866448581,0.00110149800115688,0.00807765200848377,0.00595195411151436,"17873/12044/13197/18035/13063/17210/16906/11796/22145/12983/16905/13665/78943/78688/12675/22146/18033/13040/23882",19
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","13/685","77/10644",0.168831168831169,2.62341454166272,3.74945712086157,0.00115836227331046,0.00830999022157507,0.00612315068958163,"16193/216799/16362/12263/21898/14679/16176/16175/16402/20311/29857/625018/18033",13
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","20/685","149/10644",0.134228187919463,2.08572968206535,3.5002017231396,0.00136411083382588,0.00957779947154341,0.00705732592640041,"16178/15894/20339/20293/21824/17969/17970/19252/63873/20971/18791/22339/16176/16175/12675/29857/22166/16177/19354/18033",20
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis","16/685","108/10644",0.148148148148148,2.30202757502028,3.56667575372368,0.00142299858229613,0.00978311525328592,0.00720861123926331,"14825/16178/16193/11846/20723/11847/20310/24088/271457/21898/16176/12829/16177/18033/16780/18751",16
"Human Diseases","Drug resistance: antineoplastic","mmu01523","Antifolate resistance","7/685","28/10644",0.25,3.88467153284672,4.00833840784353,0.00159416053569909,0.0107361831996061,0.00791087183128871,"16193/76408/20509/16176/12675/52466/18033",7
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","15/685","101/10644",0.148514851485149,2.30772566307726,3.46309719643662,0.00193209186227159,0.0126010093144938,0.0092849542317323,"15894/20339/16193/20293/21824/18712/18787/22339/16176/16175/11606/12829/29857/18033/18751",15
"Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation","25/685","209/10644",0.119617224880383,1.85869451332379,3.28802457585294,0.00196407165457046,0.0126010093144938,0.0092849542317323,"246256/18602/14289/64008/14293/12273/17969/17970/24088/12796/70315/12363/170744/21898/107435/20345/105675/56644/29857/14131/17972/19354/18033/18751/17523",25
"Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway","12/685","72/10644",0.166666666666667,2.58978102189781,3.5497227168334,0.00198561358895054,0.0126010093144938,0.0092849542317323,"12702/18035/14081/384783/18036/12675/50790/18761/72674/18033/18534/21938",12
"Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway","17/685","122/10644",0.139344262295082,2.16522675601292,3.39477242322079,0.00202851466486712,0.0126303743284179,0.00930659161041318,"18035/18019/26410/22637/16818/108723/18036/12042/12675/18761/29857/19264/18033/12503/12502/16822/21947",17
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","29/685","256/10644",0.11328125,1.76024178832117,3.22905320301685,0.0020752737392265,0.0126822284063842,0.00934479987838834,"12765/12575/17869/16193/19225/18035/20293/12771/26427/13063/21354/18019/14707/12767/231991/22339/14679/16176/12675/13557/14695/29857/16177/14674/16194/19354/18033/14991/18751",29
"Human Diseases","Infectious disease: viral","mmu05162","Measles","19/685","145/10644",0.131034482758621,2.03610369997483,3.29444839072966,0.00235720529017281,0.0141432317410369,0.0104213286512903,"16193/18035/13063/21929/24088/54123/12566/170780/56489/13665/16185/18036/21898/16176/16175/12675/18033/12502/15481",19
"Metabolism","Global and overview maps","mmu01250","Biosynthesis of nucleotide sugars","8/685","38/10644",0.210526315789474,3.27130234344987,3.67841213408419,0.00245977800361869,0.0144951203784673,0.0106806150157128,"107652/15277/22235/212032/14584/54342/227620/94181",8
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","13/685","84/10644",0.154761904761905,2.40479666319082,3.38992899444642,0.00260850513383376,0.0149414645040014,0.0110095001608432,"18733/18035/232801/18019/17096/17060/108723/18036/12042/12675/19354/18033/18751",13
"Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagocytosis","14/685","94/10644",0.148936170212766,2.31427240254698,3.35654548062658,0.00262607557949116,0.0149414645040014,0.0110095001608432,"246256/17969/74192/17096/17357/22323/15162/22376/20698/230837/14131/19354/19264/18751",14
"Metabolism","Glycan biosynthesis and metabolism","mmu00520","Amino sugar and nucleotide sugar metabolism","8/685","39/10644",0.205128205128205,3.18742279618192,3.58904704864796,0.00292359369745279,0.0163523037315156,0.0120490659074326,"107652/15277/22235/212032/14584/54342/71884/227620",8
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","16/685","116/10644",0.137931034482759,2.14326705260508,3.2469320123718,0.00301239703901137,0.0165681837145625,0.012208135368625,"12575/240047/20393/26427/15200/13115/231991/18227/16478/18578/14462/14679/14531/216869/14674/18751",16
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","22/685","183/10644",0.120218579234973,1.8680387698935,3.10632947295827,0.00335024025973192,0.018124250585435,0.0133547109576889,"12575/17873/17869/16193/12427/13197/18787/15259/18019/12566/63873/17164/56484/26397/19046/16175/13557/29857/18033/14991/23882/54354",22
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease","18/685","141/10644",0.127659574468085,1.98366205932598,3.08367247901594,0.00402650015524339,0.0214313717940374,0.015791537111396,"14825/16193/18035/20310/12273/56489/56484/12263/26397/21898/16176/16172/12675/29857/72674/625018/18033/13106",18
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","15/685","112/10644",0.133928571428571,2.0810740354536,3.01632736120263,0.00530183212036719,0.0277715015828758,0.0204632116926453,"17869/12156/22042/224109/20482/68010/15216/209268/12163/21815/238057/17130/16323/269275/11479",15
"Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer","11/685","72/10644",0.152777777777778,2.37396593673966,3.0678426969633,0.00598551929077694,0.0308628338430686,0.0227410354633137,"12575/17873/13197/16574/21802/56484/13557/58231/18751/23882/54354",11
"Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway","14/685","104/10644",0.134615384615385,2.09174620999439,2.93418510271434,0.00663374679549328,0.0336790221925043,0.0248161216155295,"16193/18035/24088/54123/26410/56489/26397/170744/21898/16176/12675/29857/18033/21897",14
"Human Diseases","Immune disease","mmu05340","Primary immunodeficiency","7/685","36/10644",0.194444444444444,3.02141119221411,3.18609419617992,0.00718246985377629,0.0359123492688815,0.0264617310402284,"12265/21354/22637/17060/16818/19264/21947",7
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection","17/685","138/10644",0.123188405797101,1.91418597270708,2.834815826906,0.00729772295633164,0.0359440085908872,0.0264850589617064,"246256/15894/14289/94179/14293/12273/12796/12263/19204/20345/16664/15001/15000/12630/14131/17195/625018",17
"Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","12/685","86/10644",0.13953488372093,2.1681887625191,2.85259995894444,0.00870730208548596,0.042256024826623,0.0311360182933012,"545486/67951/15559/22151/227613/14609/22145/14679/22146/104318/13489/18751",12
"Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","11/685","76/10644",0.144736842105263,2.24902036112178,2.86582299205336,0.00899390657278002,0.043014335782861,0.0316947737347397,"12575/17873/13197/21802/22339/12675/13557/19354/64143/18033/23882",11
"Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels","16/685","130/10644",0.123076923076923,1.91245367770915,2.74516192352523,0.00915973207829695,0.0431815940833999,0.0318180166930315,"16180/15559/63873/14063/26397/18442/19046/16176/18761/12323/16000/29857/16177/11419/12061/18751",16
"Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway","25/685","237/10644",0.105485232067511,1.63910191259355,2.60946192020592,0.0100015809898271,0.0464862215020134,0.034253005317273,"23872/19696/271457/16002/11352/233046/14707/22637/19417/21802/22339/54153/12675/16000/14695/19354/13640/64143/271849/19415/18033/58231/18751/14256/54354",25
