"comparison","cell_type","n_overlap_schwann","n_concordant_schwann","n_discordant_schwann","pct_concordant_schwann","n_overlap_jci","n_concordant_jci","n_discordant_jci","pct_concordant_jci"
"DREXvsDR","ImmSC",6,2,4,33.3,10,3,7,30
"DREXvsDR","mySC",64,41,23,64.1,188,72,116,38.3
"DREXvsDR","nmSC",8,3,5,37.5,12,3,9,25
"DREXvsDR","SC3",0,0,0,NA,0,0,0,NA
"DREXvsHFD","ImmSC",7,4,3,57.1,10,3,7,30
"DREXvsHFD","mySC",14,7,7,50,35,11,24,31.4
"DREXvsHFD","nmSC",5,3,2,60,5,2,3,40
"DREXvsHFD","SC3",0,0,0,NA,0,0,0,NA
"DRvsDREX","ImmSC",6,4,2,66.7,10,7,3,70
"DRvsDREX","mySC",64,23,41,35.9,188,116,72,61.7
"DRvsDREX","nmSC",8,5,3,62.5,12,9,3,75
"DRvsDREX","SC3",0,0,0,NA,0,0,0,NA
"DRvsEX","ImmSC",2,2,0,100,3,0,3,0
"DRvsEX","mySC",11,8,3,72.7,24,2,22,8.3
"DRvsEX","nmSC",1,1,0,100,3,3,0,100
"DRvsEX","SC3",0,0,0,NA,0,0,0,NA
"DRvsHFD","ImmSC",0,0,0,NA,0,0,0,NA
"DRvsHFD","mySC",15,4,11,26.7,24,13,11,54.2
"DRvsHFD","nmSC",0,0,0,NA,5,5,0,100
"DRvsHFD","SC3",0,0,0,NA,0,0,0,NA
"DRvsSD","ImmSC",2,1,1,50,2,0,2,0
"DRvsSD","mySC",0,0,0,NA,2,1,1,50
"DRvsSD","nmSC",1,1,0,100,3,3,0,100
"DRvsSD","SC3",0,0,0,NA,0,0,0,NA
"EXvsDREX","ImmSC",8,2,6,25,22,20,2,90.9
"EXvsDREX","mySC",71,21,50,29.6,299,208,91,69.6
"EXvsDREX","nmSC",29,7,22,24.1,44,40,4,90.9
"EXvsDREX","SC3",1,1,0,100,1,0,1,0
"EXvsHFD","ImmSC",2,0,2,0,6,6,0,100
"EXvsHFD","mySC",21,4,17,19,76,62,14,81.6
"EXvsHFD","nmSC",1,0,1,0,0,0,0,NA
"EXvsHFD","SC3",0,0,0,NA,0,0,0,NA
"HFDvsSD","ImmSC",2,2,0,100,3,1,2,33.3
"HFDvsSD","mySC",7,5,2,71.4,17,10,7,58.8
"HFDvsSD","nmSC",0,0,0,NA,1,0,1,0
"HFDvsSD","SC3",0,0,0,NA,0,0,0,NA
"DREXvsDR","majorSC",92,61,31,66.3,336,114,222,33.9
"DREXvsHFD","majorSC",26,17,9,65.4,69,20,49,29
"DRvsDREX","majorSC",92,31,61,33.7,336,222,114,66.1
"DRvsEX","majorSC",23,18,5,78.3,57,9,48,15.8
"DRvsHFD","majorSC",13,1,12,7.7,31,23,8,74.2
"DRvsSD","majorSC",22,10,12,45.5,47,42,5,89.4
"EXvsDREX","majorSC",179,62,117,34.6,875,573,302,65.5
"EXvsHFD","majorSC",79,20,59,25.3,209,175,34,83.7
"HFDvsSD","majorSC",22,11,11,50,29,21,8,72.4
