"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","22/692","136/10644",0.161764705882353,2.48818429105746,4.60570410010145,6.11130337538686e-05,0.00087683917994681,0.000648888962512472,"16193/54483/20293/216799/18019/74192/268973/22637/16818/20111/22376/26397/21898/16176/16402/12675/29857/14131/19354/56212/18033/16822",22
"Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway","30/692","220/10644",0.136363636363636,2.09747766684183,4.33730262430577,8.75671310149829e-05,0.00120404805145602,0.000891033964713861,"14825/16193/101613/59027/54483/20293/378425/20310/21929/216799/12796/54123/55991/11796/57436/268973/192656/56489/106512/12363/28240/18036/21898/16176/12675/29857/22166/18033/15951/383619",30
"Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer","17/692","94/10644",0.180851063829787,2.78176116098881,4.57527370177657,0.000101629890313395,0.00134151455213682,0.000992763560114007,"12575/17873/17869/19225/13197/13063/27401/11796/12566/12675/329581/13557/12829/66197/18033/16780/23882",17
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","30/692","224/10644",0.133928571428571,2.06002270850537,4.22800228573564,0.000121935786813946,0.00154764652494624,0.00114530779517552,"12575/14825/15894/17869/16193/19225/12771/20310/13063/22695/57781/54123/18019/17096/104709/14707/277360/17164/22339/56489/15162/12675/320207/13557/15251/14695/29857/18033/15979/14991",30
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","21/692","133/10644",0.157894736842105,2.42865835108001,4.37181807423468,0.0001274723145885,0.00155799495608166,0.00115296596430924,"12575/17873/16193/20393/13197/13611/26556/20656/12795/27401/57436/12581/12566/384783/12675/16000/29857/18534/58231/216439/23882",21
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","24/692","163/10644",0.147239263803681,2.26476116174332,4.29072674304448,0.000133628430340177,0.0015749065004378,0.00116548104657598,"19225/20393/11846/240672/12608/12642/11847/320832/243958/192187/271457/55991/18019/71345/17164/11689/214058/20698/18442/18263/12323/15251/29857/56696",24
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","25/692","174/10644",0.14367816091954,2.20998604743871,4.24337624049655,0.000145347657209845,0.00165395609928444,0.0012239802712408,"15894/16193/12702/20293/12265/13063/216799/54123/81489/56488/56489/13665/18036/15980/21898/16176/16175/12675/16647/269966/15001/15000/18033/15979/18751",25
"Human Diseases","Substance dependence","mmu05030","Cocaine addiction","11/692","48/10644",0.229166666666667,3.52492774566474,4.623048963984,0.000199311594204785,0.00219242753625264,0.00162246631071966,"26427/14814/13385/231991/214084/14800/14679/12569/18033/13489/14282",11
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","16/692","94/10644",0.170212765957447,2.61812815151888,4.15509067087312,0.000332939972158821,0.00354419970362616,0.00262282083330548,"18793/21824/12273/18787/13136/14067/20704/12274/18788/18791/12263/12630/17195/625018/12061/18792",16
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis","12/692","60/10644",0.2,3.07630057803468,4.25275955583895,0.000402574250512902,0.0041515469584143,0.00307227717496688,"14825/16193/20310/13063/24088/268973/15510/18034/21898/16176/18033/15481",12
