"Mouse_Symbol","Mouse_log2FC","Mouse_pval","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Aagab",-0.117067404857343,0.000684567152049807,"AAGAB",0.395105804158502,0.0370312996354424,"Down","Up","Discordant"
"Abca7",-0.195167234176098,4.65245330369219e-07,"ABCA7",0.944051929768345,0.0194516527809627,"Down","Up","Discordant"
"Abcg1",-0.12368846678693,0.000794117641502327,"ABCG1",0.597163812978239,0.036149860523894,"Down","Up","Discordant"
"Abtb2",-0.159519990593087,0.00181515028918562,"ABTB2",0.850021399170085,0.00198104421965933,"Down","Up","Discordant"
"Actg1",-0.170868539839016,0.0046184834237643,"ACTG1",0.323021786468219,0.0429620298758623,"Down","Up","Discordant"
"Adipor2",-0.161568609900185,0.00161978667084325,"ADIPOR2",0.900650997565655,7.1157531158539e-06,"Down","Up","Discordant"
"Afg3l2",-0.151253879527921,0.0077841099223407,"AFG3L2",0.408486392527031,0.00704052364947191,"Down","Up","Discordant"
"Ankrd28",-0.101612718918217,0.00145118816742492,"ANKRD28",0.524344569829333,0.0161949110626087,"Down","Up","Discordant"
"Arid5b",-0.192589383463946,0.000295535505160765,"ARID5B",1.00233724445659,2.65653545696934e-09,"Down","Up","Discordant"
"Arl13b",-0.0791353663862373,0.00589928697827232,"ARL13B",1.08737521120123,4.95711058639428e-07,"Down","Up","Discordant"
"Arl8a",-0.101812835350752,0.00775507826535577,"ARL8A",0.60856484455954,0.000163125421550114,"Down","Up","Discordant"
"Arrb2",-0.269295899415535,8.54412286348573e-07,"ARRB2",1.73985888909546,0.000201212352501719,"Down","Up","Discordant"
"Arrdc3",-0.186968540332233,0.00113051883734727,"ARRDC3",1.01778270735556,3.51288333170683e-05,"Down","Up","Discordant"
"Art3",-0.214049091617625,5.03143972551939e-10,"ART3",0.855985414490905,0.0339782259659872,"Down","Up","Discordant"
"Asah1",-0.106485066631225,0.00719956812793442,"ASAH1",0.559788104440354,0.0409006897215529,"Down","Up","Discordant"
"Atf3",-0.240701919121733,0.00532943478902654,"ATF3",2.32155207388366,4.66204194068405e-06,"Down","Up","Discordant"
"Atp11b",-0.148701874527157,0.00211738926377028,"ATP11B",0.660449853958957,0.011870803733869,"Down","Up","Discordant"
"Atp1b3",-0.144746151734439,0.000218911029636411,"ATP1B3",2.31810166786389,2.10745120832055e-26,"Down","Up","Discordant"
"Atrnl1",-0.241979846912479,0.00647676810607894,"ATRNL1",1.52941780623292,2.97752640206857e-05,"Down","Up","Discordant"
"B3gnt2",-0.0823015434891374,0.00251505768473867,"B3GNT2",0.96904664347509,1.2685814326882e-12,"Down","Up","Discordant"
"Bbip1",-0.123089938509854,0.00547154406949225,"BBIP1",0.359264148545172,0.0048243526874592,"Down","Up","Discordant"
"Bcas1",-0.1467892607876,0.000105273505300285,"BCAS1",2.2966238713816,6.79706432728351e-06,"Down","Up","Discordant"
"Bcl2l1",-0.195706856166978,1.82288515423046e-06,"BCL2L1",0.43555280611491,0.00566397624664395,"Down","Up","Discordant"
