"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0043251","sodium-dependent organic anion transport",1,1,0.000349786241741312,0.0824970114450603,"Slc10a6"
"GO:0071387","cellular response to cortisol stimulus",1,1,0.000349786241741312,0.0824970114450603,"Klf9"
"GO:0072073","kidney epithelium development",175,2,0.00160468745865033,0.0824970114450603,"Klf15,Sdc4"
"GO:0022008","neurogenesis",2099,4,0.0039821375078416,0.0824970114450603,"Klf9,Klf15,Sdc4,Itm2c"
"GO:0110053","regulation of actin filament organization",283,2,0.00412399675676688,0.0824970114450603,"Sdc4,Cotl1"
"GO:0009725","response to hormone",1062,3,0.00488518480023305,0.0824970114450603,"Klf9,Serpina3n,Klf15"
"GO:0032956","regulation of actin cytoskeleton organization",368,2,0.00687206094793724,0.0835631054283383,"Sdc4,Cotl1"
"GO:0001822","kidney development",382,2,0.00738679467968786,0.0835631054283383,"Klf15,Sdc4"
"GO:0072001","renal system development",395,2,0.00788014951515141,0.0835631054283383,"Klf15,Sdc4"
"GO:1902903","regulation of supramolecular fiber organization",399,2,0.00803491398349407,0.0835631054283383,"Sdc4,Cotl1"
"GO:0051241","negative regulation of multicellular organismal process",1306,3,0.008701794472263,0.0844752425746285,"Klf15,Tsc22d3,Sdc4"
"GO:0032970","regulation of actin filament-based process",421,2,0.00891085149710991,0.0844752425746285,"Sdc4,Cotl1"
"GO:0006950","response to stress",4288,5,0.00893488142616263,0.0844752425746285,"Serpina3n,Klf15,Tsc22d3,Sdc4,Cotl1"
"GO:0007399","nervous system development",2794,4,0.0111496298317689,0.0918854542781951,"Klf9,Klf15,Sdc4,Itm2c"
"GO:0007015","actin filament organization",478,2,0.011371861456825,0.0918854542781951,"Sdc4,Cotl1"
"GO:0043434","response to peptide hormone",533,2,0.01400161931485,0.102547071038338,"Serpina3n,Klf15"
"GO:0051493","regulation of cytoskeleton organization",556,2,0.0151736291603433,0.105203828845047,"Sdc4,Cotl1"
"GO:0051248","negative regulation of protein metabolic process",561,2,0.0154339607407567,0.105600784015704,"Klf15,Itm2c"
"GO:0002683","negative regulation of immune system process",590,2,0.0169824958487261,0.108238306672984,"Tsc22d3,Sdc4"
"GO:0009719","response to endogenous stimulus",1706,3,0.0180587475765927,0.108238306672984,"Klf9,Serpina3n,Klf15"
"GO:0030182","neuron differentiation",1721,3,0.0184894089689472,0.108238306672984,"Klf9,Sdc4,Itm2c"
"GO:0048699","generation of neurons",1806,3,0.0210423778263067,0.109922753518349,"Klf9,Sdc4,Itm2c"
"GO:0120036","plasma membrane bounded cell projection organization",1809,3,0.0211359959468823,0.109922753518349,"Sdc4,Emp1,Itm2c"
"GO:0030030","cell projection organization",1854,3,0.0225691818820631,0.113053709439573,"Sdc4,Emp1,Itm2c"
"GO:0032870","cellular response to hormone stimulus",741,2,0.0260701200835762,0.113053709439573,"Klf9,Klf15"
"GO:0030036","actin cytoskeleton organization",743,2,0.0262015874219282,0.113053709439573,"Sdc4,Cotl1"
"GO:0008285","negative regulation of cell population proliferation",746,2,0.0263993147227213,0.113053709439573,"Klf9,Sdc4"
"GO:1901700","response to oxygen-containing compound",2039,3,0.0290353812733682,0.118885025686232,"Klf9,Serpina3n,Klf15"
"GO:0097435","supramolecular fiber organization",827,2,0.0319723020707985,0.123277680740956,"Sdc4,Cotl1"
"GO:0006915","apoptotic process",2116,3,0.0320011658508116,0.123277680740956,"Tsc22d3,Emp1,Itm2c"
"GO:0048523","negative regulation of cellular process",5830,5,0.0328695572650291,0.123277680740956,"Klf9,Klf15,Tsc22d3,Sdc4,Itm2c"
"GO:0030029","actin filament-based process",845,2,0.0332707749554696,0.123277680740956,"Sdc4,Cotl1"
"GO:0008219","cell death",2202,3,0.0355053700328008,0.124631340651414,"Tsc22d3,Emp1,Itm2c"
"GO:0012501","programmed cell death",2202,3,0.0355053700328008,0.124631340651414,"Tsc22d3,Emp1,Itm2c"
"GO:0050896","response to stimulus",10946,7,0.035951348264831,0.124631340651414,"Klf9,Serpina3n,Klf15,Tsc22d3,Sdc4,Cotl1,Itm2c"
"GO:0048519","negative regulation of biological process",6085,5,0.0391268757308225,0.125910765430343,"Klf9,Klf15,Tsc22d3,Sdc4,Itm2c"
"GO:0009888","tissue development",2289,3,0.0392565084711946,0.125910765430343,"Klf15,Tsc22d3,Sdc4"
"GO:0051050","positive regulation of transport",1049,2,0.0494137090393552,0.135953061907221,"Klf15,Sdc4"
