"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction","7/75","181/10644",0.0386740331491713,5.48861878453039,5.1306171817721,0.000274267376954455,0.0383642553877154,0.0379604211204763,"14969/20970/12741/21367/242653/17136/12562",7
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","5/75","94/10644",0.0531914893617021,7.54893617021277,5.37222468860214,0.000511523405169538,0.0383642553877154,0.0379604211204763,"11537/22371/50702/20720/268591",5
