"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043153","entrainment of circadian clock by photoperiod","2/12","25/25730",0.08,171.533333333333,18.4269714021149,5.94626074628084e-05,0.00637755583041445,0.00414639852751404,"Per1/Per3",2
"GO:0009649","entrainment of circadian clock","2/12","27/25730",0.0740740740740741,158.827160493827,17.7237329434177,6.95352034451112e-05,0.00637755583041445,0.00414639852751404,"Per1/Per3",2
"GO:0009648","photoperiodism","2/12","29/25730",0.0689655172413793,147.873563218391,17.0942912775941,8.03893592069048e-05,0.00637755583041445,0.00414639852751404,"Per1/Per3",2
"GO:0032922","circadian regulation of gene expression","2/12","74/25730",0.027027027027027,57.9504504504505,10.5974659638587,0.000528607387137012,0.0314521395346522,0.0204487594497739,"Per1/Per3",2
"GO:2000781","positive regulation of double-strand break repair","2/12","100/25730",0.02,42.8833333333333,9.06463696852117,0.000962251080179126,0.0458031514165264,0.0297791386918593,"Fmn2/Fus",2
"GO:0042752","regulation of circadian rhythm","2/12","128/25730",0.015625,33.5026041666667,7.96287095248678,0.00156861638731855,0.0463970073812363,0.0301652369970886,"Per1/Per3",2
"GO:0048477","oogenesis","2/12","130/25730",0.0153846153846154,32.9871794871795,7.89789073820956,0.00161737647292089,0.0463970073812363,0.0301652369970886,"Fmn2/Paqr8",2
"GO:0030518","nuclear receptor-mediated steroid hormone signaling pathway","2/12","140/25730",0.0142857142857143,30.6309523809524,7.59377921231086,0.00187195725899928,0.0463970073812363,0.0301652369970886,"Per1/Paqr8",2
"GO:0043401","steroid hormone receptor signaling pathway","2/12","140/25730",0.0142857142857143,30.6309523809524,7.59377921231086,0.00187195725899928,0.0463970073812363,0.0301652369970886,"Per1/Paqr8",2
"GO:0045739","positive regulation of DNA repair","2/12","144/25730",0.0138888888888889,29.7800925925926,7.48093214642694,0.00197879884368583,0.0463970073812363,0.0301652369970886,"Fmn2/Fus",2
"GO:2000779","regulation of double-strand break repair","2/12","150/25730",0.0133333333333333,28.5888888888889,7.32003318790463,0.00214439950081344,0.0463970073812363,0.0301652369970886,"Fmn2/Fus",2
