"gene","n_pathways","n_comparisons","pathways"
"Rap1gap",13,1,"cell adhesion | negative regulation of microvillus assembly | regulation of thyroid gland epithelial cell proliferation | negative regulation of thyroid gland epithelial cell proliferation | thyroid gland epithelial cell proliferation | neuron differentiation | generation of neurons | regulation of plasma membrane bounded cell projection organization | regulation of cell projection organization | neurogenesis | cell-cell adhesion | negative regulation of cell projection organization | nervous system development"
"Mbp",11,1,"cell adhesion | neuron differentiation | generation of neurons | regulation of plasma membrane bounded cell projection organization | regulation of cell projection organization | neurogenesis | regulation of axonogenesis | cell-cell adhesion | negative regulation of cell projection organization | cell-cell adhesion via plasma-membrane adhesion molecules | nervous system development"
"Sdk2",7,1,"cell adhesion | neuron differentiation | generation of neurons | neurogenesis | cell-cell adhesion | cell-cell adhesion via plasma-membrane adhesion molecules | nervous system development"
"Sema7a",7,1,"neuron differentiation | generation of neurons | regulation of plasma membrane bounded cell projection organization | regulation of cell projection organization | neurogenesis | regulation of axonogenesis | nervous system development"
