"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"visual perception",1,0,0,0,1
"sensory perception of light stimulus",1,0,0,0,1
"regulation of protein localization to nucleus",1,0,0,0,1
"cellular response to amino acid stimulus",1,0,0,0,1
"cellular response to acid chemical",1,0,0,0,1
"response to amino acid",1,0,0,0,1
"response to acid chemical",1,0,0,0,1
"sodium ion transport",1,0,0,0,1
"sensory perception of sound",1,0,0,0,1
