"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"response to increased oxygen levels",0,1,0,0,1
"export across plasma membrane",0,1,0,0,1
"regulation of metabolic process",0,1,0,0,1
"dephosphorylation",0,1,0,0,1
"positive regulation of neuron differentiation",0,1,0,0,1
"positive regulation of cation transmembrane transport",0,1,0,0,1
"positive regulation of monoatomic ion transmembrane transport",0,1,0,0,1
