"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","19/663","149/10644",0.12751677852349,2.04719244434997,3.31764704110004,0.00223516352566584,0.0156937013504198,0.0117139589027057,"16178/15894/20339/20293/21824/17969/19252/63873/20971/18791/22339/16176/16175/12675/29857/22166/16177/19354/18033",19
"Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway","16/663","117/10644",0.136752136752137,2.19545964342344,3.35102221239557,0.00237519446895014,0.016060735549963,0.0119879174439915,"16193/18787/22042/170768/15277/22339/16828/212032/15980/21898/12323/15251/16000/18033/15979/18751",16
"Metabolism","Glycan biosynthesis and metabolism","mmu00520","Amino sugar and nucleotide sugar metabolism","8/663","39/10644",0.205128205128205,3.29318946513517,3.69758930981384,0.00238477588469147,0.016060735549963,0.0119879174439915,"107652/15277/22235/212032/14584/54342/71884/227620",8
"Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation","24/663","209/10644",0.114832535885167,1.84355582497997,3.17426011759499,0.00269044824251562,0.0177569584006031,0.0132539976578664,"246256/18602/14289/64008/14293/12273/17969/24088/12796/70315/12363/170744/21898/107435/20345/105675/56644/29857/14131/17972/19354/18033/18751/17523",24
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","20/663","164/10644",0.121951219512195,1.95784129786999,3.18593277827269,0.00295354200744075,0.0191111541657931,0.0142647849275776,"17869/16193/12427/26427/13063/24088/54123/18019/12566/231991/13205/13655/56489/26397/21898/12675/13557/29857/18033/18751",20
"Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway","16/663","122/10644",0.131147540983607,2.10548178918478,3.16507588385143,0.00364167680278092,0.0231106412484174,0.0172500480131728,"18019/26410/22637/16818/108723/18036/12042/12675/18761/29857/19264/18033/12503/12502/16822/21947",16
"Human Diseases","Infectious disease: viral","mmu05162","Measles","18/663","145/10644",0.124137931034483,1.99294741769387,3.10268761015636,0.00386220292281698,0.0239760704318688,0.0178960142936437,"16193/13063/21929/24088/54123/12566/170780/56489/13665/16185/18036/21898/16176/16175/12675/18033/12502/15481",18
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","15/663","112/10644",0.133928571428571,2.15012928248222,3.15356665180115,0.00392335697976036,0.0239760704318688,0.0178960142936437,"17869/12156/22042/224109/20482/68010/15216/209268/12163/21815/238057/17130/16323/269275/11479",15
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","17/663","136/10644",0.125,2.00678733031674,3.04543217146952,0.00457540432430762,0.0271608360251304,0.0202731599039251,"17873/12044/13197/13063/16906/11796/22145/12983/16905/13665/78943/78688/12675/22146/18033/13040/23882",17
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","36/663","368/10644",0.0978260869565217,1.57052921503049,2.87072450955621,0.00463065621170602,0.0271608360251304,0.0202731599039251,"12985/12986/17869/16193/18413/26427/13874/24088/16002/11839/104709/12566/14707/231991/16196/53978/21802/22339/16185/21898/16402/12675/16190/320207/12829/16000/14695/22628/13640/67168/18033/18534/16780/78134/14256/12840",36
