"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"regulation of presynaptic membrane potential",0,1,0,0,1
"neuron projection extension",0,1,0,0,1
"developmental cell growth",0,1,0,0,1
"regulation of extent of cell growth",0,1,0,0,1
"axon extension",0,1,0,0,1
