"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"anatomical structure arrangement",1,0,0,0,1
"cranial nerve development",1,0,0,0,1
"rhythmic behavior",1,0,0,0,1
"nerve development",1,0,0,0,1
