"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Tsc22d3",-0.424537133771928,0.000102103839978624,"TSC22D3",0.879953045600486,1.39651604335522e-10,"Down","Up","Discordant"
"Fmn2",0.316615979189291,0.00712604015639057,"FMN2",-1.59141658266337,0.0303865818092828,"Up","Down","Discordant"
"Ctnnal1",0.291468357338932,0.0218186476668104,"CTNNAL1",-0.747383126515763,4.21869437456721e-18,"Up","Down","Discordant"
"Paqr8",-0.320565257261834,0.0281254978300141,"PAQR8",-0.974450764607794,1.45270406235891e-08,"Down","Down","Concordant"
"Prx",0.135832250487192,0.0385704274392868,"PRX",-0.731594240711631,5.22310979613096e-32,"Up","Down","Discordant"
"Hspa8",-0.365431461435531,0.0434367489442081,"HSPA8",-0.543620602493133,6.99785512556195e-11,"Down","Down","Concordant"
