"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"sodium ion transport",0,1,0,0,1
"developmental cell growth",0,1,0,0,1
"cardiac muscle tissue growth",0,1,0,0,1
"heart growth",0,1,0,0,1
