"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"Longevity regulating pathway - multiple species",1,0,0,0,1
"Aldosterone synthesis and secretion",1,0,0,0,1
"Protein digestion and absorption",1,0,0,0,1
