"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04514","Cell adhesion molecule (CAM) interaction",181,2,0.00168711682338241,0.0250275791796112,"Mag,Sdc3"
"04820","Cytoskeleton in muscle cells",233,2,0.00278084213106791,0.0250275791796112,"Col1a1,Sdc3"
