"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04514","Cell adhesion molecule (CAM) interaction",181,3,0.000254347507209173,0.00330651759371925,"Cldn19,Sdc3,Mag"
"04517","IgSF CAM signaling",300,2,0.0198136484356289,0.128788714831588,"Mag,Kcna2"
