"Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"04514","Cell adhesion molecule (CAM) interaction",181,2,0.0118304687361612,0.152985467472071,"Sdc3,Mag"
"04820","Cytoskeleton in muscle cells",233,2,0.0191231834340089,0.152985467472071,"Sdc3,Col1a1"
