"gene","STRING_id"
"Cltb","10090.ENSMUSP00000053371"
"Cmtr1","10090.ENSMUSP00000024816"
"Cmya5","10090.ENSMUSP00000050408"
"Cnot10","10090.ENSMUSP00000064840"
"Cnot2","10090.ENSMUSP00000100902"
"Cnot7","10090.ENSMUSP00000117304"
"Cnot8","10090.ENSMUSP00000104471"
"Cnp","10090.ENSMUSP00000099409"
"Cntf","10090.ENSMUSP00000108555"
"Cog2","10090.ENSMUSP00000034460"
"Col14a1","10090.ENSMUSP00000105850"
"Col1a1","10090.ENSMUSP00000001547"
"Col1a2","10090.ENSMUSP00000031668"
"Col23a1","10090.ENSMUSP00000099826"
"Col24a1","10090.ENSMUSP00000029848"
"Col3a1","10090.ENSMUSP00000085192"
"Col4a1","10090.ENSMUSP00000033898"
"Col4a2","10090.ENSMUSP00000033899"
"Col5a1","10090.ENSMUSP00000028280"
"Col5a3","10090.ENSMUSP00000004201"
"Col9a2","10090.ENSMUSP00000030372"
"Colgalt1","10090.ENSMUSP00000047923"
"Cox14","10090.ENSMUSP00000023761"
"Cox16","10090.ENSMUSP00000002757"
"Cpeb2","10090.ENSMUSP00000125857"
"Crbn","10090.ENSMUSP00000108865"
"Creld1","10090.ENSMUSP00000032422"
"Crlf3","10090.ENSMUSP00000060028"
"Crtc1","10090.ENSMUSP00000075916"
"Crtc3","10090.ENSMUSP00000113540"
"Cry2","10090.ENSMUSP00000088047"
"Cryab","10090.ENSMUSP00000149803"
"Cryzl1","10090.ENSMUSP00000073171"
"Csnk1d","10090.ENSMUSP00000018274"
"Cst3","10090.ENSMUSP00000028938"
"Ctbp1","10090.ENSMUSP00000078682"
"Ctcf","10090.ENSMUSP00000005841"
"Ctnnd1","10090.ENSMUSP00000064518"
"Cttnbp2","10090.ENSMUSP00000088089"
"Cxxc1","10090.ENSMUSP00000025444"
"Cxxc5","10090.ENSMUSP00000054307"
"Cys1","10090.ENSMUSP00000141121"
"D11Wsu47e","10090.ENSMUSP00000042025"
"D8Ertd738e","10090.ENSMUSP00000019506"
"Dag1","10090.ENSMUSP00000142109"
"Dbn1","10090.ENSMUSP00000021950"
"Dbp","10090.ENSMUSP00000079693"
"Dclk2","10090.ENSMUSP00000029719"
"Dcp1b","10090.ENSMUSP00000108397"
"Dctn1","10090.ENSMUSP00000109552"
"Ddit4","10090.ENSMUSP00000020308"
"Ddx39b","10090.ENSMUSP00000133428"
"Ddx3y","10090.ENSMUSP00000088729"
"Ddx46","10090.ENSMUSP00000133245"
"Dek","10090.ENSMUSP00000021807"
"Dennd5a","10090.ENSMUSP00000079295"
"Dgcr6","10090.ENSMUSP00000067682"
"Dgcr8","10090.ENSMUSP00000009321"
"Dhcr24","10090.ENSMUSP00000038063"
"Dhx16","10090.ENSMUSP00000025292"
"Dhx38","10090.ENSMUSP00000047865"
"Dhx9","10090.ENSMUSP00000139825"
