"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"ECM-receptor interaction",0,0,1,0,1
"Cell adhesion molecule (CAM) interaction",0,0,1,0,1
