"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Mpnd",0.0814399227193976,0.00143372822443108,"MPND",-0.595499216283351,0.00490170726157816,"Up","Down","Discordant"
"Ncor1",0.0831412747139497,0.00269247906143912,"NCOR1",-0.300407590904529,0.0480332852981834,"Up","Down","Discordant"
"Xpo1",0.0806713314237666,0.0031164074541126,"XPO1",-0.725692842258922,0.000109161602599099,"Up","Down","Discordant"
"Med22",0.0973198570472263,0.00314299806479679,"MED22",-0.541387339592153,4.65730757140838e-06,"Up","Down","Discordant"
"Mpv17",0.139637751745057,0.00331615413708815,"MPV17",-0.462583778585178,0.0003543645754178,"Up","Down","Discordant"
"Snx14",0.0789692705245382,0.00374433475981506,"SNX14",-0.665090290492076,0.000109807789869119,"Up","Down","Discordant"
"Acss2",0.0960818549850799,0.00421707142675104,"ACSS2",-0.370773093124668,0.0182069412282436,"Up","Down","Discordant"
"Comt",0.132213537282698,0.0048156061913868,"COMT",-0.362315019865887,0.0157210129282574,"Up","Down","Discordant"
"Nsd1",0.0681843478918629,0.00495948489318755,"NSD1",-0.332333819703257,0.00923612677840494,"Up","Down","Discordant"
"Ddb2",0.0773226314198521,0.00526601278282753,"DDB2",-0.902974871392537,0.00119179844557035,"Up","Down","Discordant"
"Tbc1d19",0.0570615500210769,0.00553304787278078,"TBC1D19",-0.588540413788932,0.0105749354559477,"Up","Down","Discordant"
"D11Wsu47e",0.138237602351689,0.00569021196620227,"C17orf80",-0.327809640465848,0.0147940339466146,"Up","Down","Discordant"
"Rbm45",0.121419527595173,0.00665160548579338,"RBM45",-1.02178559332965,5.38768132844044e-08,"Up","Down","Discordant"
"Akr1a1",0.0891897317511674,0.00729491336041948,"AKR1A1",-0.366859994436924,0.0179255864338826,"Up","Down","Discordant"
"Fancf",0.0686458040366457,0.00860210832140502,"FANCF",-0.71679437990953,0.000504282508232142,"Up","Down","Discordant"
"Taz",0.0530007706388707,0.00862124156226738,"TAZ",-0.492618531513292,0.0445641358653912,"Up","Down","Discordant"
"Disp1",0.145000969687246,0.00866087497778953,"DISP1",-0.460015242068382,0.0431816007726484,"Up","Down","Discordant"
"Cept1",0.137364319692494,0.00874895854877357,"CEPT1",-0.458526961018918,0.000103996140562403,"Up","Down","Discordant"
"Ogt",0.104211432958126,0.0100193142179516,"OGT",-0.631471427293465,0.00176977220196808,"Up","Down","Discordant"
"Timp2",0.0887511990615915,0.0115222133856681,"TIMP2",-0.31091995692204,0.0387226628601124,"Up","Down","Discordant"
"Cog1",0.0701364399278626,0.0152815154521871,"COG1",-0.426286273917989,0.0460807536680312,"Up","Down","Discordant"
"Depdc5",0.0854061103469521,0.0155704933919502,"DEPDC5",-0.560469521984038,0.011203874368159,"Up","Down","Discordant"
"Mxd4",0.0585072536869562,0.0162868554717878,"MXD4",-0.495833231453984,0.0196313524124304,"Up","Down","Discordant"
"Tm7sf2",0.112287176945251,0.0163363923298225,"TM7SF2",-0.762671106934902,0.00116918542321087,"Up","Down","Discordant"
"Trmt1l",0.16616815777088,0.0170350203737462,"TRMT1L",-0.393106816463735,0.000560053821979513,"Up","Down","Discordant"
"P2rx4",0.0694321123388422,0.0174583945290313,"P2RX4",-0.652141764742712,0.00248291076654324,"Up","Down","Discordant"
"Ercc6",0.0818180195806071,0.0175642718882916,"ERCC6",-0.422350654803781,0.00536745940018289,"Up","Down","Discordant"
"Hp1bp3",0.0561260184071037,0.0195913729824952,"HP1BP3",-0.176483361063178,0.0464393130830744,"Up","Down","Discordant"
"Lgals4",0.0259758345059042,0.0202727091057761,"LGALS4",-1.04129230609978,0.0161958181962756,"Up","Down","Discordant"
"Zfp606",0.101335131277755,0.0202862782319861,"ZNF606",-0.835489950899306,0.00034774630279619,"Up","Down","Discordant"
"Zfp266",0.129542796593601,0.0233049514115914,"ZNF266",-0.441494917745777,0.00680858696119317,"Up","Down","Discordant"
"Gopc",0.100157924494398,0.026632022967832,"GOPC",-0.300829090074261,0.0274636275907233,"Up","Down","Discordant"
