"gene","p_val","avg_log2fc","pct.1","pct.2","p_val_adj"
"Aacs",0.000263343806788463,-0.193545819209249,0.079,0.118,1
"Aatk",0.00233199426883185,0.0817840024421379,0.984,0.989,1
"Abca8b",0.00234183845525312,-0.278793842384175,0.784,0.801,1
"Abhd14b",0.00107488315193674,-0.119605391688057,0.223,0.281,1
"Acadl",0.00241972319374954,-0.128495077118852,0.132,0.173,1
"Acads",0.00344480987109534,0.367590793501797,0.113,0.068,1
"Acadsb",0.00194536607726846,0.292609788061246,0.157,0.1,1
"Aco1",0.00426719777905926,-0.0258410542803699,0.088,0.122,1
"Acp6",0.00087462170984482,-0.191584645400844,0.074,0.108,1
"Acsl3",0.00013732748404544,-0.197237178558777,0.098,0.144,1
"Actr1b",0.000721582048097681,0.440631188572921,0.109,0.059,1
"Adamtsl1",0.00103184016171712,-0.166851495440263,0.15,0.196,1
"Adck1",0.00102522957546287,-0.200834323487876,0.069,0.101,1
"Adcy1",0.00551665450322686,-0.143633795572705,0.563,0.61,1
"Adipor1",0.00710101534777493,0.28753232959022,0.121,0.076,1
"Adprh",0.00212196275218668,0.288361069963857,0.14,0.087,1
"Afap1",0.000496718658946942,-0.14791723762103,0.189,0.242,1
"Afap1l2",0.00268550870192914,-0.141432999050941,0.317,0.378,1
"Agrn",0.00177179968255604,0.186217511808368,0.262,0.183,1
"Ahdc1",0.00653759395395174,0.218010790317848,0.174,0.12,1
"Aifm2",0.000204916722669859,-0.13149280642244,0.077,0.116,1
"Akirin2",0.00645278543453685,-0.126516493440264,0.075,0.104,1
"Aldh1l1",0.00263194262445347,-0.135886535221307,0.052,0.105,1
"Aldh9a1",0.00288935164806116,0.227865319150129,0.108,0.062,1
"Amotl2",0.00493955876497,-0.0910160298411773,0.253,0.307,1
"Amy1",0.0068002493942843,0.246435830274389,0.132,0.085,1
"Anapc16",0.0086101913495998,-0.121377236258815,0.121,0.154,1
"Anapc2",0.00341481785768325,-0.0870782459955468,0.243,0.299,1
"Angptl4",5.91289813539758e-06,-0.325516681228514,0.2,0.268,0.0888117299936716
"Ank3",6.35398488642754e-05,-0.166537099721059,0.599,0.684,0.954368529941417
"Ankhd1",0.00246813496366388,-0.191080462794974,0.113,0.15,1
"Ankrd13b",0.000607844726475574,-0.168072622613566,0.115,0.159,1
"Ankrd13c",0.0026665115008167,-0.18263776487321,0.074,0.105,1
"Ankrd17",0.00760500876795437,0.243219717485545,0.142,0.094,1
"Ankrd52",0.00104344205100923,-0.183921375242964,0.162,0.21,1
"Ano8",0.000238219168256838,-0.227385393524164,0.105,0.149,1
"Antxr2",0.000921200402748092,-0.321834886044122,0.391,0.452,1
"Anxa2",0.00567011060972065,0.224067845591119,0.177,0.118,1
"Anxa3",2.04030076032899e-11,-0.446739385058392,0.17,0.268,3.06453174201414e-07
"Ap1s1",0.00798547986730067,0.244775421257441,0.207,0.142,1
"Ap2m1",0.00370191182477168,0.340151322709903,0.122,0.091,1
"Apod",1.02091405785072e-05,-0.309107049851102,0.328,0.408,0.153341291489179
"Appbp2",0.00591030208888625,-0.474327797967847,0.081,0.121,1
"Appl2",0.00425285524220464,0.173482195316743,0.304,0.221,1
"Arfgef2",0.00651806434807026,-0.189106100837555,0.148,0.209,1
"Arhgef1",0.000629801613815935,-0.113178682061743,0.351,0.43,1
"Arhgef2",0.0092588054348414,-0.131159567797466,0.12,0.154,1
"Arhgef26",0.000306114888080388,-0.21579360752312,0.164,0.216,1
"Arhgef37",0.000950996364235117,-0.111979519977758,0.264,0.323,1
"Arid1b",0.00917195891413025,-0.100195452549324,0.117,0.15,1
"Arih2",0.0073039382279664,0.288580314837351,0.11,0.069,1
"Arl6ip4",0.00707894642062156,-0.153854302980403,0.164,0.203,1
"Arpc1b",0.00153225102497238,0.242978706375186,0.423,0.328,1
"Arrb1",0.00522495346559015,-0.0510793711688324,0.118,0.154,1
"Art3",1.65215772082662e-07,0.333619866279077,0.748,0.724,0.00248154089668158
"Ascc2",4.36708973801984e-05,-0.229354490056967,0.126,0.18,0.65593687865058
"Atf3",0.00120592213554228,0.47393829982607,0.206,0.14,1
"Atg13",0.00249459692855259,-0.157367714635599,0.105,0.141,1
"Atp13a3",0.00014973632277585,0.34178818898724,0.16,0.091,1
"Atp2a2",0.00249390086231934,-0.292371070283723,0.365,0.458,1
"Atp6ap1",0.00641553969032635,-0.147753829088506,0.108,0.14,1
"Atp6v0d1",0.00306901393851609,-0.108213592624292,0.118,0.158,1
"Atp6v0e",0.00610966676159929,0.254487021576365,0.109,0.066,1
"Atp6v1h",0.00472500476687867,-0.189158816287061,0.121,0.155,1
"Atraid",0.00381611458983246,-0.0880694442986354,0.082,0.113,1
"Atrnl1",0.00703083998523288,0.202921862303513,0.109,0.066,1
"Axin2",0.00255357631655651,0.346671485654438,0.119,0.071,1
"B2m",0.00112574817946322,0.231314176161486,0.423,0.322,1
"B4galnt1",0.000433369183548541,0.229185451133668,0.282,0.18,1
"Babam2",0.00513907934259769,-0.151926536891448,0.135,0.174,1
"Baz1b",0.000147885155748354,0.461253041276524,0.164,0.095,1
"Bcar3",0.000553967356799468,-0.245668329371549,0.315,0.416,1
"Bckdhb",0.00829825789440412,0.27986528227528,0.238,0.175,1
"Bcl9",0.00556198792930103,0.206590996035874,0.103,0.061,1
"Becn1",0.000645103108112941,-0.15429647653705,0.123,0.168,1
"Bloc1s6",0.00816492305313563,-0.041979956841963,0.082,0.137,1
"Bmp7",0.000345076102253483,-0.140295334349459,0.289,0.357,1
"Bod1l",0.000693930180642965,-0.0857401405035193,0.094,0.134,1
"Brms1l",0.00209859116137019,-0.109834265174264,0.155,0.202,1
"Brpf1",0.00117566204377829,-0.17956450842799,0.077,0.111,1
"Brwd1",0.00402920351092259,-0.123526969347842,0.284,0.34,1
"C1s1",4.86652862675686e-07,0.488141959484877,0.151,0.065,0.00730952599738881
"C77080",0.00372402437438845,0.243864416316534,0.149,0.097,1
"Cabin1",0.00489910807528174,0.220402329541672,0.109,0.065,1
"Cacna1c",0.00224640810682585,-0.170897257893575,0.115,0.185,1
"Cacna2d1",0.0020699033495602,-0.14034363205761,0.088,0.122,1
"Cacnb3",3.32987488144863e-07,-0.330762453006879,0.128,0.194,0.00500147207193584
"Cadm3",0.00491588363596024,-0.12822581437578,0.435,0.5,1
"Cadm4",1.21551854799668e-06,-0.283931530954145,0.911,0.965,0.0182570885909101
"Camk2d",0.000224619041819567,-0.218954811949895,0.359,0.43,1
"Capn2",0.0032186015411341,-0.151740357260068,0.725,0.815,1
"Capn7",0.000115556641241617,-0.177739465723954,0.123,0.174,1
"Capns1",0.000481424020949631,-0.219447299999526,0.113,0.155,1
"Card10",0.00174058991702287,-0.090595112900076,0.112,0.152,1
"Carns1",0.00589923109354003,0.15688726696804,0.752,0.754,1
"Cars",0.00350611585614882,-0.0937315858405094,0.092,0.126,1
"Caskin2",0.00143721969731031,0.389848779943681,0.112,0.063,1
"Casq1",0.0051198632815401,-0.187504860377276,0.077,0.129,1
"Cast",0.00257867683075002,-0.0913412693388693,0.114,0.153,1
"Cav1",0.00380061537429257,-0.186187024108487,0.762,0.834,1
"Cav2",0.00178355462575795,-0.182313769428668,0.577,0.668,1
"Cavin3",0.000451065605454522,-0.15842512231551,0.14,0.188,1
"Cc2d1a",2.35909991853967e-06,-0.297645458100199,0.101,0.158,0.0354336807764659
"Cc2d1b",0.00457700284475064,-0.138122309138143,0.185,0.229,1
"Ccar2",0.00721953505425664,0.214671116289268,0.125,0.079,1
"Ccdc159",1.05449130577096e-05,-0.172764060392371,0.123,0.181,0.158384594126798
"Ccdc28a",0.00050156279713888,-0.166103713424886,0.084,0.122,1
"Ccdc59",0.00273018174885747,-0.0991578111371358,0.222,0.275,1
"Ccdc93",0.00188452794980309,-0.158254268209324,0.069,0.1,1
"Ccm2",0.00287152502972229,-0.17769255126969,0.075,0.131,1
"Ccn1",3.24957694133274e-05,-0.371893571825271,0.096,0.144,0.488086456588178
"Ccnl1",0.00535685842085834,0.154719557862097,0.173,0.115,1
"Cd200",0.000315508155892481,0.253441791314576,0.27,0.182,1
"Cd63",0.00479729612597133,0.266240013988085,0.162,0.108,1
"Cd9",0.00413434321726161,-0.114414272311416,0.99,1,1
"Cdc42ep1",9.70023100693938e-05,0.366904309112781,0.152,0.082,1
"Cdc42se1",0.0092535153538013,0.19669108046189,0.157,0.107,1
"Cdc42se2",0.00764897991112427,-0.203578576282444,0.104,0.161,1
"Cdk16",0.0060448252968633,0.168028774608239,0.208,0.144,1
"Cdk9",0.000215766344505766,0.42856691609716,0.182,0.111,1
"Cds2",0.00414254289749758,-0.078405328226546,0.155,0.198,1
"Cep104",0.00466600937338203,-0.154723387894826,0.144,0.183,1
"Cep164",0.000158561848313206,-0.237068236344223,0.107,0.153,1
"Cep295nl",0.00029743989668559,-0.205446138685861,0.128,0.175,1
"Cep63",0.00580831664567417,0.297912172315108,0.109,0.066,1
"Cfap100",0.00038635559570657,-0.108342279783559,0.902,0.927,1
"Cgrrf1",0.00293528359269737,-0.0709254294360739,0.138,0.181,1
"Chfr",0.000705372817985594,-0.138104204382231,0.173,0.224,1
"Chp2",0.0032503419220732,0.215831391738401,0.115,0.083,1
"Chpf2",0.00396464789977947,0.186959786253861,0.114,0.068,1
"Chst2",0.00854553798214491,-0.111477166414795,0.074,0.1,1
"Cic",0.00113138221762172,0.360250045614291,0.126,0.074,1
"Cirbp",0.00713282546529629,-0.335903910423928,0.425,0.465,1
"Ciz1",0.00172179718795073,-0.070331944080398,0.129,0.173,1
"Ckb",0.000466292406770665,0.301441789751117,0.158,0.094,1
