"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Il6ra",0.171214933098655,1.60669826877054e-08,"IL6R",1.47218534211856,0.000248864661137805,"Up","Up","Concordant"
"Pmp22",0.236855375891292,1.95182503029279e-08,"PMP22",1.45929829179601,1.88551476517146e-06,"Up","Up","Concordant"
"Gpr37l1",0.246790340444427,2.22066960521538e-08,"GPR37L1",1.34688202118724,0.0057794070837936,"Up","Up","Concordant"
"Cryab",0.119527647222797,2.91171973475489e-08,"CRYAB",1.08341602218809,5.7269190274382e-05,"Up","Up","Concordant"
"Cdh1",0.200214681209093,3.26615105107214e-08,"CDH1",1.61733830378314,0.00241398407306228,"Up","Up","Concordant"
"Slc44a2",0.120089955087097,3.63885230360832e-08,"SLC44A2",0.51829195359802,0.00517102720976109,"Up","Up","Concordant"
"Nedd9",0.153767705379731,4.00436079397514e-08,"NEDD9",2.5439781102678,1.45742549457497e-17,"Up","Up","Concordant"
"Rap1gds1",0.134186007944123,5.93911921307508e-08,"RAP1GDS1",0.666498916787632,0.0020158455859027,"Up","Up","Concordant"
"Mthfd1l",0.148281605465905,5.96221790467406e-08,"MTHFD1L",0.842884885757314,0.00238120556135578,"Up","Up","Concordant"
"Ptpre",0.10619010954747,1.02639755454534e-07,"PTPRE",2.06625014305419,1.42155021346131e-06,"Up","Up","Concordant"
"Azin1",0.152193193343981,1.28909711295395e-07,"AZIN1",0.805594176187565,0.000395432410720482,"Up","Up","Concordant"
"Atp1a1",0.192853227292167,1.67483099768589e-07,"ATP1A1",1.96831342051822,2.83978222987694e-15,"Up","Up","Concordant"
"Paqr6",0.113662231756344,2.35859019408325e-07,"PAQR6",0.805361172474919,0.00215066741025202,"Up","Up","Concordant"
"Emc7",0.179362282562889,2.42206090425783e-07,"EMC7",0.524907012405259,0.00525852613376337,"Up","Up","Concordant"
"Clcn2",0.113722816123925,4.03041121678816e-07,"CLCN2",1.28952414032155,0.000610248511241346,"Up","Up","Concordant"
"Itpk1",0.0628539288183969,4.6414695941543e-07,"ITPK1",0.756103281010516,0.000459840990722149,"Up","Up","Concordant"
"Brsk2",0.136848475185069,5.22114398464596e-07,"BRSK2",0.919606832246747,0.00727183191789815,"Up","Up","Concordant"
"Sirpa",0.150444915497072,7.26824799912315e-07,"SIRPA",0.526166317517518,0.0263956366122629,"Up","Up","Concordant"
"Mylip",0.130691184214107,8.85828439836319e-07,"MYLIP",0.764613361473144,0.00145723825263538,"Up","Up","Concordant"
"Fam107a",0.171867174994514,1.00694051567701e-06,"FAM107A",2.08447238998694,5.92255945530233e-10,"Up","Up","Concordant"
