"Gene","n_comparisons_conserved","comparisons"
"Col1a1",3,"HFDvsSD, DRvsHFD, EXvsHFD"
"Mbp",3,"HFDvsSD, DRvsHFD, DREXvsHFD"
"Chst2",2,"DRvsHFD, EXvsHFD"
"Fam107a",2,"DRvsHFD, EXvsHFD"
"Mlip",2,"DRvsHFD, EXvsHFD"
"Egr2",2,"EXvsHFD, DREXvsHFD"
"Gpm6a",2,"EXvsHFD, DREXvsHFD"
"Pmp2",2,"EXvsHFD, DREXvsHFD"
