"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","22/682","136/10644",0.161764705882353,2.5246679316888,4.68204558491571,4.91600623322567e-05,0.000705340024767161,0.000521974117212062,"16193/54483/20293/216799/18019/74192/268973/22637/16818/20111/22376/26397/21898/16176/16402/12675/29857/14131/19354/56212/18033/16822",22
"Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway","30/682","220/10644",0.136363636363636,2.12823247134098,4.42429099434615,6.7244065678985e-05,0.000924605903086044,0.000684237861294935,"14825/16193/101613/59027/54483/20293/378425/20310/21929/216799/12796/54123/55991/11796/57436/268973/192656/56489/106512/12363/28240/18036/21898/16176/12675/29857/22166/18033/15951/383619",30
"Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer","17/682","94/10644",0.180851063829787,2.82254944780683,4.64374075761308,8.49861957923102e-05,0.00112181778445849,0.000830180944160672,"12575/17873/17869/19225/13197/13063/27401/11796/12566/12675/329581/13557/12829/66197/18033/16780/23882",17
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","30/682","224/10644",0.133928571428571,2.09022832006703,4.31477902208647,9.39871697093694e-05,0.00119291407708046,0.000882794468525251,"12575/14825/15894/17869/16193/19225/12771/20310/13063/22695/57781/54123/18019/17096/104709/14707/277360/17164/22339/56489/15162/12675/320207/13557/15251/14695/29857/18033/15979/14991",30
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway","21/682","133/10644",0.157894736842105,2.46426917734218,4.44606361927287,0.000103852191309781,0.00126930456045288,0.000939325862918874,"12575/17873/16193/13197/13611/26556/20656/12795/27401/57436/12581/12566/384783/56484/12675/16000/29857/18534/58231/216439/23882",21
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","25/682","174/10644",0.14367816091954,2.24239053493781,4.32325016873904,0.000115592664635968,0.00136234211892391,0.00100817662389266,"15894/16193/12702/20293/12265/13063/216799/54123/81489/56488/56489/13665/18036/15980/21898/16176/16175/12675/16647/269966/15001/15000/18033/15979/18751",25
"Human Diseases","Substance dependence","mmu05030","Cocaine addiction","11/682","48/10644",0.229166666666667,3.57661290322581,4.68111996282652,0.000175361309117967,0.00199549075892859,0.00147672681362499,"26427/14814/13385/231991/214084/14800/14679/12569/18033/13489/14282",11
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","23/682","163/10644",0.141104294478528,2.20222010326898,4.04694570014788,0.000280711641249157,0.00300959251516794,0.00222719446098553,"19225/11846/240672/12608/12642/11847/320832/243958/192187/271457/55991/18019/71345/17164/11689/214058/20698/18442/18263/12323/15251/29857/56696",23
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","16/682","94/10644",0.170212765957447,2.6565171273476,4.2207009029055,0.000282719296879413,0.00300959251516794,0.00222719446098553,"18793/21824/12273/18787/13136/14067/20704/12274/18788/18791/12263/12630/17195/625018/12061/18792",16
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis","12/682","60/10644",0.2,3.12140762463343,4.31147413178267,0.000352539472961626,0.00354854521444162,0.00262603664992171,"14825/16193/20310/13063/24088/268973/15510/18034/21898/16176/18033/15481",12
