"cell_type","gene_set","n_DREX_vs_HFD","n_DR_vs_HFD","n_EX_vs_HFD","n_DREX_specific","n_DR_specific","n_EX_specific","n_DREX_DR_shared","n_DREX_EX_shared","n_DR_EX_shared","n_All_shared"
"mySC","Mouse_all",529,770,1337,327,243,738,105,177,502,80
"mySC","Overlap_MS",11,16,18,6,6,5,2,5,10,2
"mySC","Overlap_All3",0,6,3,0,4,1,0,0,2,0
"nmSC","Mouse_all",238,66,242,189,32,200,22,30,15,3
"nmSC","Overlap_MS",10,2,1,8,1,0,1,1,0,0
"nmSC","Overlap_All3",1,0,0,1,0,0,0,0,0,0
"ImmSC","Mouse_all",444,114,240,375,68,185,33,42,19,6
"ImmSC","Overlap_MS",6,1,4,5,0,3,1,1,1,1
"ImmSC","Overlap_All3",1,0,1,1,0,1,0,0,0,0
"majorSC","Mouse_all",1023,825,2371,561,157,1437,156,422,628,116
"majorSC","Overlap_MS",16,17,37,5,1,15,4,10,15,3
"majorSC","Overlap_All3",4,5,11,0,0,4,1,3,4,0
"aggSC","Mouse_all",1006,919,1600,563,277,820,234,372,571,163
"aggSC","Overlap_MS",21,19,20,10,6,5,7,9,11,5
"aggSC","Overlap_All3",1,6,3,0,3,1,1,0,2,0
