"gene","STRING_id"
"Ubp1","10090.ENSMUSP00000081946"
"Palmd","10090.ENSMUSP00000044693"
"Chd1","10090.ENSMUSP00000024627"
"Dclk2","10090.ENSMUSP00000029719"
"Selenon","10090.ENSMUSP00000060026"
"Zbtb38","10090.ENSMUSP00000121753"
"Lyst","10090.ENSMUSP00000106188"
"Rcan3","10090.ENSMUSP00000030606"
"Ercc3","10090.ENSMUSP00000025241"
"Nid1","10090.ENSMUSP00000005532"
"Bcar1","10090.ENSMUSP00000129584"
"Vwa8","10090.ENSMUSP00000048925"
"Gnl3","10090.ENSMUSP00000047119"
"Prickle2","10090.ENSMUSP00000032093"
"Trim41","10090.ENSMUSP00000037055"
"Fasn","10090.ENSMUSP00000052872"
"Rtkn","10090.ENSMUSP00000065571"
"Plekhg2","10090.ENSMUSP00000092228"
"Prnp","10090.ENSMUSP00000088833"
"Prkab2","10090.ENSMUSP00000036410"
"Ptpre","10090.ENSMUSP00000147656"
"Itga7","10090.ENSMUSP00000096712"
"Sc5d","10090.ENSMUSP00000057354"
"Thap3","10090.ENSMUSP00000035240"
"Nphp4","10090.ENSMUSP00000080128"
"Cst3","10090.ENSMUSP00000028938"
"Tppp3","10090.ENSMUSP00000135040"
"Snapc4","10090.ENSMUSP00000041767"
"Zdhhc3","10090.ENSMUSP00000117392"
"Bicd1","10090.ENSMUSP00000084039"
"Prss12","10090.ENSMUSP00000029603"
"Zfp692","10090.ENSMUSP00000126674"
"Ehd4","10090.ENSMUSP00000028755"
"Pnisr","10090.ENSMUSP00000029911"
"Atp1a1","10090.ENSMUSP00000039657"
"Gpt","10090.ENSMUSP00000023203"
"Mef2a","10090.ENSMUSP00000117496"
"Pllp","10090.ENSMUSP00000034227"
"Hectd4","10090.ENSMUSP00000048345"
"Bmp7","10090.ENSMUSP00000009143"
"Slamf9","10090.ENSMUSP00000027830"
"Metap1d","10090.ENSMUSP00000048190"
"Gcn1","10090.ENSMUSP00000069432"
"Arhgef17","10090.ENSMUSP00000102647"
"Lrrfip2","10090.ENSMUSP00000035078"
"Hnrnpul1","10090.ENSMUSP00000146263"
"Enpp2","10090.ENSMUSP00000128941"
"Cryab","10090.ENSMUSP00000149803"
"Htt","10090.ENSMUSP00000078945"
"Sqle","10090.ENSMUSP00000022977"
"Tll1","10090.ENSMUSP00000070560"
"Mtrex","10090.ENSMUSP00000022281"
"Epb41l2","10090.ENSMUSP00000055122"
"Rhobtb3","10090.ENSMUSP00000022078"
"Mlip","10090.ENSMUSP00000034910"
"Ick","10090.ENSMUSP00000048234"
"Pcdhga7","10090.ENSMUSP00000141704"
"Slit3","10090.ENSMUSP00000066857"
"Vstm4","10090.ENSMUSP00000055178"
"Lrp6","10090.ENSMUSP00000032322"
"Retreg1","10090.ENSMUSP00000022881"
"Ttll6","10090.ENSMUSP00000127778"
"Prmt2","10090.ENSMUSP00000097167"
"Dusp6","10090.ENSMUSP00000020118"
"Ccnt2","10090.ENSMUSP00000027587"
"Ano8","10090.ENSMUSP00000091157"
"Gls","10090.ENSMUSP00000110158"
"Trim26","10090.ENSMUSP00000060103"
"Tmem181a","10090.ENSMUSP00000086333"
"Mylip","10090.ENSMUSP00000047403"
"Gon4l","10090.ENSMUSP00000103122"
"Art3","10090.ENSMUSP00000113510"
"Rock2","10090.ENSMUSP00000020904"
